"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","1","","Build object","","com.acme.JsonBuilderTest$Build","delete","Given paths, should delete corresponding values",""
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","1","","Entries path","","com.acme.JsonBuilderTest$Path","build","Given path has missing root '$', should add '$' to the path before put a value",""
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","2","","Build object","","com.acme.JsonBuilderTest$Build","build","Given paths and values, should build a JSONNode",""
"passed","Fri Jun 04 19:54:33 GMT 2021","Fri Jun 04 19:54:34 GMT 2021","1511","","Build object","","com.acme.JsonBuilderTest$Build","customMapper","Given custom ObjectMapper, should use it to map values",""
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","2","","Build object","","com.acme.JsonBuilderTest$Build","empty","Should build empty JSONNode",""
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","3","","Entries path","","com.acme.JsonBuilderTest$Path","delete","Given path has missing root '$', should add '$' to the path before delete a value",""
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","8","","Build object","","com.acme.JsonBuilderTest$Build","buildAsMap","Given paths and values, should build a Map",""
"passed","Fri Jun 04 19:54:32 GMT 2021","Fri Jun 04 19:54:32 GMT 2021","323","","Put entries","","com.acme.JsonBuilderTest$Put","putMap","Given entrie is Map, should add it",""
