"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","4","","Build object","","com.acme.JsonBuilderTest$Build","buildAsMap","Given paths and values, should build a Map",""
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","4","","Entries path","","com.acme.JsonBuilderTest$Path","delete","Given path has missing root '$', should fix the path before delete a value",""
"passed","Thu Jun 10 16:33:00 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","313","","Put entries","","com.acme.JsonBuilderTest$Put","putMap","Given entry is Map, should map it as JsonNode",""
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:02 GMT 2021","1180","","Build object","","com.acme.JsonBuilderTest$Build","customMapper","Given custom ObjectMapper, should use it to map values",""
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","3","","Entries path","","com.acme.JsonBuilderTest$Path","build","Given path has missing root '$', should fix the path before put a value",""
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","2","","Build object","","com.acme.JsonBuilderTest$Build","delete","Given paths, should delete corresponding values",""
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","2","","Build object","","com.acme.JsonBuilderTest$Build","empty","Should build empty JsonNode",""
"passed","Thu Jun 10 16:33:01 GMT 2021","Thu Jun 10 16:33:01 GMT 2021","3","","Build object","","com.acme.JsonBuilderTest$Build","build","Given paths and values, should build a JsonNode",""
