"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 10 16:28:29 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","252","","Put entries","","com.acme.JsonBuilderTest$Put","putMap","Given entry is Map, should map it as JsonNode",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","1","","Entries path","","com.acme.JsonBuilderTest$Path","build","Given path has missing root '$', should fix the path before put a value",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","2","","Build object","","com.acme.JsonBuilderTest$Build","buildAsMap","Given paths and values, should build a Map",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","1","","Build object","","com.acme.JsonBuilderTest$Build","build","Given paths and values, should build a JsonNode",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:31 GMT 2021","1340","","Build object","","com.acme.JsonBuilderTest$Build","customMapper","Given custom ObjectMapper, should use it to map values",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","0","","Build object","","com.acme.JsonBuilderTest$Build","empty","Should build empty JsonNode",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","3","","Entries path","","com.acme.JsonBuilderTest$Path","delete","Given path has missing root '$', should fix the path before delete a value",""
"passed","Thu Jun 10 16:28:30 GMT 2021","Thu Jun 10 16:28:30 GMT 2021","1","","Build object","","com.acme.JsonBuilderTest$Build","delete","Given paths, should delete corresponding values",""
