"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","4","","Entries path","","com.acme.JsonBuilderTest$Path","delete","Given path has missing root '$', should fix the path before delete a value",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","268","","Put entries","","com.acme.JsonBuilderTest$Put","putMap","Given entry is Map, should map it as JsonNode",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","4","","Build object","","com.acme.JsonBuilderTest$Build","buildAsMap","Given paths and values, should build a Map",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","4","","Build object","","com.acme.JsonBuilderTest$Build","delete","Given paths, should delete corresponding values",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:55 GMT 2021","1635","","Build object","","com.acme.JsonBuilderTest$Build","customMapper","Given custom ObjectMapper, should use it to map values",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","3","","Build object","","com.acme.JsonBuilderTest$Build","build","Given paths and values, should build a JsonNode",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","1","","Entries path","","com.acme.JsonBuilderTest$Path","build","Given path has missing root '$', should fix the path before put a value",""
"passed","Fri Jun 04 19:56:53 GMT 2021","Fri Jun 04 19:56:53 GMT 2021","0","","Build object","","com.acme.JsonBuilderTest$Build","empty","Should build empty JsonNode",""
