"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","2","","JSONPath","","com.acme.JsonBuilderTest$Path","delete","Given delete with missing root '$', should add it",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","3","","Build","","com.acme.JsonBuilderTest$Build","buildAsMap","Given a map of JSONPath, should build a Map",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","2","","Build","","com.acme.JsonBuilderTest$Build","build","Given a map of JSONPath, should build a JSON document",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","331","","Put","","com.acme.JsonBuilderTest$Put","putMap","Given put passing a map, should add it",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:16 GMT 2021","1606","","Build","","com.acme.JsonBuilderTest$Build","customMapper","Given custom JSON mapper, should use it",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","1","","Build","","com.acme.JsonBuilderTest$Build","delete","Given deleted entries on JSON Path map, should reflect JSON document",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","1","","Build","","com.acme.JsonBuilderTest$Build","empty","Should build empty JSON",""
"passed","Fri Apr 23 19:30:14 GMT 2021","Fri Apr 23 19:30:14 GMT 2021","1","","JSONPath","","com.acme.JsonBuilderTest$Path","build","Given put with missing root '$', should add it",""
